Origin_airport,Destination_airport,Total_Passengers,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
SLC,ATL,9042446,40.7883987426758,-111.977996826172,33.6366996765137,-84.4281005859375
LGA,MIA,9025859,40.77719879,-73.87259674,25.7931995391846,-80.2906036376953
MCI,MDW,9002809,39.2976,-94.713898,41.7859992980957,-87.7524032592773
PHX,MSP,8965029,33.4342994689941,-112.012001037598,44.8819999695,-93.2218017578
MDW,MCI,8930607,41.7859992980957,-87.7524032592773,39.2976,-94.713898
ATL,MEM,8884622,33.6366996765137,-84.4281005859375,35.0424003601074,-89.9766998291016
FLL,EWR,8856774,26.0725994110107,-80.152702331543,40.6925010681152,-74.168701171875
EWR,FLL,8847728,40.6925010681152,-74.168701171875,26.0725994110107,-80.152702331543
DCA,DFW,8835883,38.8521,-77.037697,32.896800994873,-97.0380020141602
CLT,ATL,8797249,35.2140007019043,-80.9430999755859,33.6366996765137,-84.4281005859375
SAN,OAK,8795718,32.7336006165,-117.190002441,37.7212982177734,-122.221000671387
MEM,ATL,8787394,35.0424003601074,-89.9766998291016,33.6366996765137,-84.4281005859375
EWR,BOS,8682496,40.6925010681152,-74.168701171875,42.36429977,-71.00520325
DFW,SEA,8669734,32.896800994873,-97.0380020141602,47.4490013122559,-122.30899810791
DFW,DCA,8666433,32.896800994873,-97.0380020141602,38.8521,-77.037697
BOS,EWR,8665400,42.36429977,-71.00520325,40.6925010681152,-74.168701171875
LGA,MCO,8622197,40.77719879,-73.87259674,28.4293994903564,-81.3089981079102
MCO,LGA,8613648,28.4293994903564,-81.3089981079102,40.77719879,-73.87259674
MSP,SEA,8612828,44.8819999695,-93.2218017578,47.4490013122559,-122.30899810791
SEA,MSP,8592489,47.4490013122559,-122.30899810791,44.8819999695,-93.2218017578
ATL,CLT,8586492,33.6366996765137,-84.4281005859375,35.2140007019043,-80.9430999755859
OAK,SEA,8550310,37.7212982177734,-122.221000671387,47.4490013122559,-122.30899810791
OAK,SAN,8507851,37.7212982177734,-122.221000671387,32.7336006165,-117.190002441
PHX,SEA,8452445,33.4342994689941,-112.012001037598,47.4490013122559,-122.30899810791
ATL,IAH,8446796,33.6366996765137,-84.4281005859375,29.9843997955322,-95.3414001464844
LAS,ATL,8446049,36.08010101,-115.1520004,33.6366996765137,-84.4281005859375
SEA,OAK,8418354,47.4490013122559,-122.30899810791,37.7212982177734,-122.221000671387
JFK,MCO,8318597,40.63980103,-73.77890015,28.4293994903564,-81.3089981079102
SAN,DFW,8289358,32.7336006165,-117.190002441,32.896800994873,-97.0380020141602
SEA,PHX,8282430,47.4490013122559,-122.30899810791,33.4342994689941,-112.012001037598
MSY,IAH,8281668,29.9934005737305,-90.2580032348633,29.9843997955322,-95.3414001464844
MSP,ATL,8271825,44.8819999695,-93.2218017578,33.6366996765137,-84.4281005859375
IAH,ATL,8270917,29.9843997955322,-95.3414001464844,33.6366996765137,-84.4281005859375
SFO,ATL,8240505,37.6189994812012,-122.375,33.6366996765137,-84.4281005859375
IAH,MSY,8231079,29.9843997955322,-95.3414001464844,29.9934005737305,-90.2580032348633
