Origin_airport,Destination_airport,Total_Passengers,Total_Flights,Total_Seats,Seat_Utilization,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long,Usage_Category
SAT,PHX,3440615,40484,4860231,0.7079118255901828,29.5337009429932,-98.4698028564453,33.4342994689941,-112.012001037598,Sovra-Utilizzata
CLT,PBI,3439918,32349,4518771,0.7612507914209417,35.2140007019043,-80.9430999755859,26.6832008361816,-80.0955963134766,Sovra-Utilizzata
HOU,PHX,3437837,35211,4715594,0.7290358330254895,29.64539909,-95.27890015,33.4342994689941,-112.012001037598,Sovra-Utilizzata
CRP,HOU,3437261,46959,6077755,0.5655478050694706,27.7703990936279,-97.5011978149414,29.64539909,-95.27890015,Sotto-Utilizzata
SAN,MSP,3437045,27491,4311220,0.7972325698990077,32.7336006165,-117.190002441,44.8819999695,-93.2218017578,Sovra-Utilizzata
DAL,OKC,3435697,47218,6117432,0.5616240605535133,32.8470993041992,-96.8517990112305,35.3931007385254,-97.600700378418,Sotto-Utilizzata
HOU,BNA,3426329,39389,5236718,0.6542893850690451,29.64539909,-95.27890015,36.1245002746582,-86.6781997680664,Sovra-Utilizzata
PHL,MHT,3423374,45744,5195561,0.6589036294636903,39.871898651123,-75.241096496582,42.9325981140137,-71.4356994628906,Sovra-Utilizzata
HOU,CRP,3423081,46750,6050960,0.5657087470417917,29.64539909,-95.27890015,27.7703990936279,-97.5011978149414,Sotto-Utilizzata
SLC,STL,3415710,38698,4985757,0.685093557507917,40.7883987426758,-111.977996826172,38.7486991882324,-90.370002746582,Sovra-Utilizzata
PBI,CLT,3414945,32357,4565656,0.7479637099247074,26.6832008361816,-80.0955963134766,35.2140007019043,-80.9430999755859,Sovra-Utilizzata
OKC,DAL,3414767,47337,6156781,0.5546351250759123,35.3931007385254,-97.600700378418,32.8470993041992,-96.8517990112305,Sotto-Utilizzata
MCO,IND,3409184,34050,4718006,0.7225900094234725,28.4293994903564,-81.3089981079102,39.7173,-86.294403,Sovra-Utilizzata
OAK,SLC,3404418,46060,5118545,0.6651144026280906,37.7212982177734,-122.221000671387,40.7883987426758,-111.977996826172,Sovra-Utilizzata
PHX,HOU,3396637,39669,5284739,0.6427255915571233,33.4342994689941,-112.012001037598,29.64539909,-95.27890015,Sovra-Utilizzata
CMH,STL,3393588,45559,5426447,0.6253793688577443,39.9980010986328,-82.8918991088867,38.7486991882324,-90.370002746582,Sotto-Utilizzata
SYR,ORD,3391389,57525,5385371,0.6297410150572728,43.111198425293,-76.1063003540039,41.97859955,-87.90480042,Sotto-Utilizzata
FAR,MSP,3389768,51901,5574109,0.6081273258201445,46.9207000732422,-96.815803527832,44.8819999695,-93.2218017578,Sotto-Utilizzata
DFW,PIT,3388170,45548,5347790,0.6335645191752107,32.896800994873,-97.0380020141602,40.49150085,-80.23290253,Sovra-Utilizzata
EWR,STL,3386198,59594,5803928,0.5834321170076541,40.6925010681152,-74.168701171875,38.7486991882324,-90.370002746582,Sotto-Utilizzata
STL,EWR,3377035,59447,5786001,0.583656138324207,38.7486991882324,-90.370002746582,40.6925010681152,-74.168701171875,Sotto-Utilizzata
CLT,RIC,3369393,49062,5134560,0.656218449097878,35.2140007019043,-80.9430999755859,37.505199432373,-77.3197021484375,Sovra-Utilizzata
ATL,JAN,3366900,45295,5023710,0.6702019025779753,33.6366996765137,-84.4281005859375,32.3111991882,-90.0758972168,Sovra-Utilizzata
SFO,STL,3365131,28525,4831555,0.6964902603820096,37.6189994812012,-122.375,38.7486991882324,-90.370002746582,Sovra-Utilizzata
SLC,OAK,3361192,45770,5100968,0.6589321869888225,40.7883987426758,-111.977996826172,37.7212982177734,-122.221000671387,Sovra-Utilizzata
IND,DFW,3354669,39117,4886483,0.6865201413777557,39.7173,-86.294403,32.896800994873,-97.0380020141602,Sovra-Utilizzata
DFW,IND,3351951,39372,4914829,0.6820076547932797,32.896800994873,-97.0380020141602,39.7173,-86.294403,Sovra-Utilizzata
RIC,CLT,3351387,48272,5081604,0.6595136102695133,37.505199432373,-77.3197021484375,35.2140007019043,-80.9430999755859,Sovra-Utilizzata
BOS,TPA,3350571,32392,4464867,0.7504301919855619,42.36429977,-71.00520325,27.9755001068115,-82.533203125,Sovra-Utilizzata
STL,CMH,3348218,45422,5433704,0.616194404406276,38.7486991882324,-90.370002746582,39.9980010986328,-82.8918991088867,Sotto-Utilizzata
SEA,EWR,3340374,27181,5007345,0.667094837683443,47.4490013122559,-122.30899810791,40.6925010681152,-74.168701171875,Sovra-Utilizzata
